T,TM,Tm,H,PP,VV,V,VM,NH3
21.7,31.3,13,48,0,4.3,3.5,11.1,1.6
21.7,31.3,13,48,0,4.3,3.5,11.1,1.6
21,31.3,13,55,0,3.9,3.9,13,1.6
21,31.3,13,55,0,3.9,3.9,13,1.6
22.2,32,14.6,52,0,4.3,5.7,9.4,1.6
22.2,32,14.6,52,0,4.3,5.7,9.4,1.6
22.2,31,14,47,0,4.2,4.4,11.1,1.6
22.2,31,14,47,0,4.2,4.4,11.1,1.6
20,29.7,12,52,0,4.2,4.8,16.5,1.6
20,29.7,12,52,0,4.2,4.8,16.5,1.6
21.4,30,12.9,54,0,4.2,4.8,11.1,1.6
21.4,30,12.9,54,0,4.2,4.8,11.1,1.6
20.2,28,13,49,0,4.5,7,14.8,1.6
20.2,28,13,49,0,4.5,7,14.8,1.6
19.3,29,10.4,54,0,4,4.3,11.1,1.6
19.3,29,10.4,54,0,4,4.3,11.1,1.6
19.1,27,10,52,0,3.7,5,13,1.6
19.1,27,10,52,0,3.7,5,13,1.6
18.6,27,11,47,0,4,6.1,13,1.6
18.6,27,11,47,0,4,6.1,13,1.6
17.6,26.5,10,44,0,4,5.6,18.3,1.6
17.6,26.5,10,44,0,4,5.6,18.3,1.6
18.4,29,7.5,44,0,4.3,2.6,9.4,1.6
18.4,29,7.5,44,0,4.3,2.6,9.4,1.6
19.6,29,8,48,0,4,3,11.1,1.6
19.6,29,8,48,0,4,3,11.1,1.6
21.5,29.5,12.4,65,0,4.2,4.1,13,1.6
21.5,29.5,12.4,65,0,4.2,4.1,13,1.6
23.1,31,15.5,59,0,4,4.6,14.8,1.6
23.1,31,15.5,59,0,4,4.6,14.8,1.6
22.7,31,15,52,0,3.9,4.1,11.1,1.6
22.7,31,15,52,0,3.9,4.1,11.1,1.6
21.3,29,13,43,0,4.2,5.7,13,1.6
21.3,29,13,43,0,4.2,5.7,13,1.6
20.9,30,13,40,0,4.3,8.5,16.5,1.6
20.9,30,13,40,0,4.3,8.5,16.5,1.6
21.2,30,12,34,0,4.2,4.3,13,1.6
21.2,30,12,34,0,4.2,4.3,13,1.6
20.8,31,11,31,0,4.2,6.9,14.8,1.6
20.8,31,11,31,0,4.2,6.9,14.8,1.6
22.1,32,13.9,37,0,4.2,7.2,14.8,1.6
22.1,32,13.9,37,0,4.2,7.2,14.8,1.6
20.6,29,12,36,0,4,5.6,11.1,1.6
20.6,29,12,36,0,4,5.6,11.1,1.6
20.7,30,10.4,35,0,4.2,6.9,14.8,1.6
20.7,30,10.4,35,0,4.2,6.9,14.8,1.6
21.2,31,13,41,0,4.3,6.7,16.5,1.6
21.2,31,13,41,0,4.3,6.7,16.5,1.6
27.7,33.4,20.3,54,0,4,5.9,14.8,1.6
27.7,33.4,20.3,54,0,4,5.9,14.8,1.6
25.6,32,18,45,0,3.7,7.2,18.3,1.6
25.6,32,18,45,0,3.7,7.2,18.3,1.6
24.2,33,16,36,0,4.3,5.6,13,1.6
