T,TM,Tm,H,PP,VV,V,VM,O3
26.6,34,19,34,0,4.5,7,16.5,59.35675
28.1,35,20,31,0,4.3,6.3,14.8,59.35675
28.1,35,20,31,0,4.3,6.3,14.8,59.35675
31.5,39,24.4,36,0,4.2,11.9,22.2,59.35675
31.5,39,24.4,36,0,4.2,11.9,22.2,59.35675
30.9,39,23,28,0,4.7,10.4,22.2,59.35675
30.9,39,23,28,0,4.7,10.4,22.2,59.35675
29.8,39,21.6,28,0,4.5,8.1,18.3,59.35675
29.8,39,21.6,28,0,4.5,8.1,18.3,59.35675
32.5,41,23,27,0,4.3,7.2,14.8,59.35675
32.5,41,23,27,0,4.3,7.2,14.8,59.35675
31.3,39,24,32,0,4.3,6.3,13,59.35675
31.3,39,24,32,0,4.3,6.3,13,59.35675
30.9,39,22,27,0,4.5,6.7,13,59.35675
30.9,39,22,27,0,4.5,6.7,13,59.35675
29.9,39,23,33,0,4.5,6.5,13,59.35675
29.9,39,23,33,0,4.5,6.5,13,59.35675
31.2,40,20.7,40,0,4.7,7.8,14.8,59.35675
31.2,40,20.7,40,0,4.7,7.8,14.8,59.35675
32.6,41,25.6,42,0,4.3,6.1,9.4,59.35675
32.6,41,25.6,42,0,4.3,6.1,9.4,59.35675
32.6,40,26,33,0,4.7,7.6,16.5,59.35675
