T,TM,Tm,H,PP,VV,V,VM,SO2
30.9,39,23,28,0,4.7,10.4,22.2,28.77425
29.8,39,21.6,28,0,4.5,8.1,18.3,28.77425
29.8,39,21.6,28,0,4.5,8.1,18.3,28.77425
32.5,41,23,27,0,4.3,7.2,14.8,28.77425
32.5,41,23,27,0,4.3,7.2,14.8,28.77425
31.3,39,24,32,0,4.3,6.3,13,28.77425
31.3,39,24,32,0,4.3,6.3,13,28.77425
30.9,39,22,27,0,4.5,6.7,13,28.77425
30.9,39,22,27,0,4.5,6.7,13,28.77425
29.9,39,23,33,0,4.5,6.5,13,28.77425
29.9,39,23,33,0,4.5,6.5,13,28.77425
31.2,40,20.7,40,0,4.7,7.8,14.8,28.77425
31.2,40,20.7,40,0,4.7,7.8,14.8,28.77425
32.6,41,25.6,42,0,4.3,6.1,9.4,28.77425
32.6,41,25.6,42,0,4.3,6.1,9.4,28.77425
32.6,40,26,33,0,4.7,7.6,16.5,28.77425
