PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Temperature,TM,Tm,Humidity,Precipitation,Visbility,wind_speed,AQI
87.03,134.5612308,8.05,17.88,25.53,1.6,8.05,23.84,48.22,35.9,45,29,47,0,4.7,15,310
89.6,134.5612308,6.59,19.84,25.9,1.6,6.59,48.05,44.78,35.2,45,28.4,50,0,4.8,15.6,223
80.69,134.5612308,6.86,16.07,22.25,1.6,6.86,39.85,32.65,35.2,45,28.4,50,0,4.8,15.6,192
44.75,134.5612308,7.76,16.53,24.29,1.6,7.76,9.89,8.07,35.6,45,28.7,50,0,4.7,12.4,191
38.11,134.5612308,7.41,11.62,19.03,1.6,7.41,3.13,6.69,35.6,45,28.7,50,0,4.7,12.4,184
45.5,134.5612308,8.56,15.59,24.15,1.6,8.56,0.76,3.82,36.3,46,28.7,38,0,4.5,12,220
36.98,134.5612308,8.21,11.52,19.74,1.6,8.21,0.52,5.17,36.3,46,28.7,38,0,4.5,12,215
43.58,134.5612308,8.26,13.33,21.58,1.6,8.26,1.02,7.56,34.7,43,29,49,0,4.5,15,226
45.49,134.5612308,9.63,14.91,24.53,1.6,9.63,0.81,2.94,34.7,43,29,49,0,4.5,15,251
38.06,134.5612308,8.67,18.57,27.25,1.6,8.67,1.05,4.63,32.8,40.4,27,56,1.015,4.2,13,216
45.41,134.5612308,9.35,20.55,29.9,1.6,9.35,0.74,4.5,32.8,40.4,27,56,1.015,4.2,13,237
37.71,134.5612308,8.54,16.26,24.8,1.6,8.54,0.87,4.6,33.6,41,26.5,48,2.03,3.5,12,198
32.37,134.5612308,7.53,14.36,21.89,1.6,7.53,2.17,12.17,33.6,41,26.5,48,2.03,3.5,12,195
34.74,134.5612308,7.59,13.51,21.11,1.6,7.59,4.11,12.22,37.6,46,30.5,33,0,4.2,11.7,187
32.56,134.5612308,7.34,13.91,21.25,1.6,7.34,4.04,11.85,37.6,46,30.5,33,0,4.2,11.7,181
29.28,134.5612308,7.55,11.68,19.23,1.6,7.55,4.01,12.64,33.4,38,30,57,0,4,10.6,179
20.46,134.5612308,7.15,10.61,17.76,1.6,7.15,5.62,12.7,33.4,38,30,57,0,4,10.6,188
26.07,134.5612308,7.99,11.07,19.06,1.6,7.99,4.1,10.57,32.3,40,29,61,0,4.5,12.2,190
21.43,134.5612308,7.45,11.16,18.62,1.6,7.45,4.99,7.38,32.3,40,29,61,0,4.5,12.2,185
11.91,134.5612308,7.34,10.1,17.44,1.6,7.34,10.86,5.47,32.4,39.3,28,64,0,4.3,13.5,189
57.75,134.5612308,8.68,9.68,18.36,1.6,8.68,12.28,3.06,32.4,39.3,28,64,0,4.3,13.5,196
